FIPS,Geography,counts,UPB
12073,"LEON County ,FL",519,83811851.26
21131,"LESLIE County ,KY",4,354538.44
53041,"LEWIS County ,WA",1338,215817101.13
51678,"LEXINGTON CITY County ,VA",57,11603845.68
13179,"LIBERTY County ,GA",928,114242310.29
39089,"LICKING County ,OH",860,124031831.14
23015,"LINCOLN County ,ME",80,12150265.75
32017,"LINCOLN County ,NV",24,4347318.12
48297,"LIVE OAK County ,TX",13,1670144.09
26093,"LIVINGSTON County ,MI",1153,189616785.75
31113,"LOGAN County ,NE",2,49431.90
39091,"LOGAN County ,OH",182,18721014.73
39095,"LUCAS County ,OH",617,66567038.36
26095,"LUCE County ,MI",14,1075523.03
12079,"MADISON County ,FL",23,2541586.09
17119,"MADISON County ,IL",1456,165680584.46
30057,"MADISON County ,MT",13,2294414.77
19123,"MAHASKA County ,IA",117,13414211.65
40093,"MAJOR County ,OK",4,347171.93
41045,"MALHEUR County ,OR",221,23953182.47
12081,"MANATEE County ,FL",3363,705826906.92
26101,"MANISTEE County ,MI",32,2981185.09
29125,"MARIES County ,MO",22,2663965.87
01093,"MARION County ,AL",94,9109485.29
05089,"MARION County ,AR",31,3669975.15
12083,"MARION County ,FL",1320,149524115.19
13197,"MARION County ,GA",6,620103.08
47115,"MARION County ,TN",127,15406837.28
45069,"MARLBORO County ,SC",17,1457792.06
18099,"MARSHALL County ,IN",80,8190854.72
28093,"MARSHALL County ,MS",73,7609031.70
40095,"MARSHALL County ,OK",26,3127392.09
48323,"MAVERICK County ,TX",157,20021817.30
21145,"MCCRACKEN County ,KY",1198,141200281.14
29119,"MCDONALD County ,MO",42,4031166.74
38049,"MCHENRY County ,ND",4,783500.12
40091,"MCINTOSH County ,OK",74,7462403.09
35031,"MCKINLEY County ,NM",253,29865277.57
20113,"MCPHERSON County ,KS",120,13270170.10
48325,"MEDINA County ,TX",86,15620105.93
21165,"MENIFEE County ,KY",26,2257351.82
17131,"MERCER County ,IL",155,13896551.60
39107,"MERCER County ,OH",59,5765572.39
42085,"MERCER County ,PA",283,32439576.33
33013,"MERRIMACK County ,NH",723,122762022.53
49027,"MILLARD County ,UT",163,19179501.90
55079,"MILWAUKEE County ,WI",5256,688398955.92
29137,"MONROE County ,MO",29,2155087.06
54063,"MONROE County ,WV",64,6020671.53
51121,"MONTGOMERY County ,VA",754,121020361.67
26119,"MONTMORENCY County ,MI",14,1176845.38
37125,"MOORE County ,NC",411,82727896.56
20127,"MORRIS County ,KS",9,832419.52
34027,"MORRIS County ,NJ",1522,448801108.11
41049,"MORROW County ,OR",39,5048731.00
48345,"MOTLEY County ,TX",2,87797.54
27101,"MURRAY County ,MN",25,1319585.36
26121,"MUSKEGON County ,MI",1063,99128817.97
37127,"NASH County ,NC",239,29917835.52
48349,"NAVARRO County ,TX",68,7055447.15
31127,"NEMAHA County ,NE",35,4710672.05
28099,"NESHOBA County ,MS",66,8037437.46
10003,"NEW CASTLE County ,DE",3608,714707500.34
26123,"NEWAYGO County ,MI",62,6141231.09
29145,"NEWTON County ,MO",142,14344180.88
21181,"NICHOLAS County ,KY",10,1045686.06
56027,"NIOBRARA County ,WY",9,1016121.75
02180,"NOME County ,AK",50,12383349.75
51710,"NORFOLK CITY County ,VA",1059,204908280.06
40105,"NOWATA County ,OK",57,4446907.74
48355,"NUECES County ,TX",2113,286791674.57
32023,"NYE County ,NV",250,30646906.17
26127,"OCEANA County ,MI",31,2956458.08
21183,"OHIO County ,KY",220,20335847.04
16071,"ONEIDA County ,ID",120,15825031.36
36065,"ONEIDA County ,NY",1957,170258106.33
48361,"ORANGE County ,TX",603,66578106.26
51137,"ORANGE County ,VA",1127,225292293.27
29149,"OREGON County ,MO",3,317451.20
22071,"ORLEANS County ,LA",1095,208605388.50
36073,"ORLEANS County ,NY",128,10781842.41
26135,"OSCODA County ,MI",5,330148.86
08089,"OTERO County ,CO",107,11503807.95
39123,"OTTAWA County ,OH",109,14853141.06
40115,"OTTAWA County ,OK",142,11726148.32
23017,"OXFORD County ,ME",182,25725712.53
53049,"PACIFIC County ,WA",101,14047988.63
12099,"PALM BEACH County ,FL",13603,2760242662.05
37137,"PAMLICO County ,NC",28,3499210.35
48369,"PARMER County ,TX",21,1746915.62
37139,"PASQUOTANK County ,NC",544,82739988.16
51141,"PATRICK County ,VA",27,3081054.03
29155,"PEMISCOT County ,MO",59,4585179.06
05105,"PERRY County ,AR",51,5607004.69
18123,"PERRY County ,IN",312,27341174.25
17147,"PIATT County ,IL",55,6663493.43
13227,"PICKENS County ,GA",225,35486004.69
53053,"PIERCE County ,WA",16040,3795527071.35
27117,"PIPESTONE County ,MN",34,2538634.34
29165,"PLATTE County ,MO",929,142548748.65
54073,"PLEASANTS County ,WV",5,383822.03
22077,"POINTE COUPEE County ,LA",38,4768666.43
30073,"PONDERA County ,MT",16,1691143.69
51740,"PORTSMOUTH CITY County ,VA",464,72992601.93
18129,"POSEY County ,IN",79,7471352.68
30077,"POWELL County ,MT",12,1655067.31
51145,"POWHATAN County ,VA",732,151034329.84
30079,"PRAIRIE County ,MT",1,190607.21
28117,"PRENTISS County ,MS",65,6004593.27
51149,"PRINCE GEORGE County ,VA",90,15592193.60
24033,"PRINCE GEORGES County ,MD",14523,3657610724.90
51153,"PRINCE WILLIAM County ,VA",8230,2389378279.70
08099,"PROWERS County ,CO",114,9564535.10
54079,"PUTNAM County ,WV",82,11400388.37
01111,"RANDOLPH County ,AL",76,10248946.10
29175,"RANDOLPH County ,MO",63,6588447.18
28121,"RANKIN County ,MS",1382,192547175.85
22079,"RAPIDES County ,LA",1635,211916300.41
27125,"RED LAKE County ,MN",5,680102.53
20155,"RENO County ,KS",354,36668201.31
27129,"RENVILLE County ,MN",21,1868904.36
49033,"RICH County ,UT",25,3556929.15
06065,"RIVERSIDE County ,CA",24199,5594310275.21
48393,"ROBERTS County ,TX",2,151580.55
47147,"ROBERTSON County ,TN",566,83879034.29
17161,"ROCK ISLAND County ,IL",585,59608768.18
51165,"ROCKINGHAM County ,VA",240,41424680.46
40131,"ROGERS County ,OK",575,68439809.52
30085,"ROOSEVELT County ,MT",13,2330120.11
48403,"SABINE County ,TX",24,2604409.04
06067,"SACRAMENTO County ,CA",13117,3062250175.19
08109,"SAGUACHE County ,CO",1,77314.09
29185,"SAINT CLAIR County ,MO",6,542184.97
55109,"SAINT CROIX County ,WI",1382,251755534.11
22097,"SAINT LANDRY County ,LA",204,24655828.03
24037,"SAINT MARYS County ,MD",1203,299431802.47
17165,"SALINE County ,IL",22,1591495.05
29195,"SALINE County ,MO",138,11123694.92
48407,"SAN JACINTO County ,TX",98,15845530.44
06081,"SAN MATEO County ,CA",3008,1139261976.67
48409,"SAN PATRICIO County ,TX",414,51577557.46
06083,"SANTA BARBARA County ,CA",2368,707237111.52
35049,"SANTA FE County ,NM",373,85050598.37
31155,"SAUNDERS County ,NE",26,3408294.89
42107,"SCHUYLKILL County ,PA",2338,233200126.76
39145,"SCIOTO County ,OH",134,13853542.36
05127,"SCOTT County ,AR",29,2225145.91
17171,"SCOTT County ,IL",9,508268.56
21209,"SCOTT County ,KY",291,41347321.15
28123,"SCOTT County ,MS",31,3187951.72
40133,"SEMINOLE County ,OK",31,2584198.90
30061,"MINERAL County ,MT",5,766519.46
32021,"MINERAL County ,NV",30,2710528.20
26113,"MISSAUKEE County ,MI",30,2472101.17
30063,"MISSOULA County ,MT",365,66901434.21
